dataset,polity,avgtime,t_infomedia,t_techmilitary,t_warfare,t_communication,t_economy,t_infrastructure,t_politics,t_religion_moral,t_agriculturetech,t_alphabeth,SCALE,GOV,HIER
chronos,ItRavk*,652,0.45,0.50,0.40,0.10,0.30,0.50,0.05,0.50,0.30,0.30,0.5318766667,0.640959,0.440846
chronos,ItRomrm,-195,0.40,0.50,0.40,0.10,0.30,0.50,0.25,0.40,0.30,0.30,0.6455449333,0.444224,0.3705349333
chronos,ItRomre,-384,0.30,0.40,0.32,0.10,0.23,0.45,0.22,0.40,0.30,0.30,0.4508402609,0.444224,0.2706963043
chronos,ItRomrl,-73,0.40,0.50,0.40,0.10,0.30,0.50,0.20,0.40,0.30,0.30,0.7734310833,0.627854,0.4932025833
chronos,ItRomee,125,0.40,0.50,0.40,0.20,0.30,0.50,0.10,0.40,0.30,0.30,0.8230086875,0.627854,0.6368324062
chronos,ItRomk*,-619,0.25,0.40,0.28,0.08,0.20,0.39,0.09,0.31,0.30,0.18,0.3455968077,0.255033,0.220038
chronos,ItRomet,430,0.40,0.50,0.40,0.20,0.30,0.50,0.10,0.50,0.30,0.30,0.744870375,0.913509,0.602452
chronos,ItSptr*,793,0.40,0.50,0.40,0.10,0.30,0.50,0.10,0.50,0.30,0.30,0.5097954,0.640959,0.401794
chronos,JpHeiee,937,0.40,0.50,0.35,0.10,0.25,0.40,0.00,0.60,0.40,0.10,0.62841415,0.806147,0.33263
chronos,JpKfnee,354,0.20,0.40,0.20,0.00,0.25,0.30,0.00,0.35,0.30,0.10,0.4223736111,0.254927,0.2042427778
chronos,JpAzme*,1582,0.40,0.60,0.40,0.20,0.26,0.50,0.00,0.55,0.40,0.25,0.676214,0.526387,0.401794
chronos,JpKamk*,1259,0.40,0.50,0.35,0.20,0.25,0.50,0.00,0.60,0.40,0.25,0.629106,0.715593,0.431905
chronos,JpMrmkl,1511,0.40,0.52,0.40,0.15,0.29,0.50,0.00,0.60,0.40,0.25,0.646338,0.350287,0.4405133
